2026-04-09 17:18:43 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:19:43 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:20:43 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:21:43 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:22:43 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:23:43 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:24:43 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:25:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:26:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:27:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:28:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:29:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:30:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:31:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:32:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:33:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:34:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:35:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:36:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:37:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:38:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:39:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:40:44 | SERVICE_DOWN | CRITICAL | ssh is down
2026-04-09 17:41:44 | SERVICE_DOWN | CRITICAL | ssh is down
